wd,s
http://www.wikidata.org/entity/P740,https://schema.org/foundingLocation
http://www.wikidata.org/entity/P735,https://schema.org/givenName
http://www.wikidata.org/entity/P973,https://schema.org/mainEntityOfPage
http://www.wikidata.org/entity/P8626,https://schema.org/opens
http://www.wikidata.org/entity/P924,https://schema.org/possibleTreatment
http://www.wikidata.org/entity/P9831,https://schema.org/releaseOf
http://www.wikidata.org/entity/P780,https://schema.org/signOrSymptom
http://www.wikidata.org/entity/P859,https://schema.org/sponsor
http://www.wikidata.org/entity/P747,https://schema.org/workExample
http://www.wikidata.org/entity/P348,https://schema.org/softwareVersion
http://www.wikidata.org/entity/P178,https://schema.org/author
http://www.wikidata.org/entity/P400,https://schema.org/runtimePlatform
